id,Model,Brand,Power,Size,Scope,Load,Weight,Voltage,Classify,Precision,Install,Operation time(min),cost($)
225,NJ_370-2.7,COMAU,NULL,NULL,2210,110,685,200~600,Piercing Robot,0.06,Hoisting,11,7 
226,NJ_370-3.0,COMAU,NULL,NULL,1850,12,335,200~600,Piercing Robot,0.06,Hoisting,9,3 
227,NJ_450-2.7,COMAU,NULL,NULL,1650,16,335,200~600,Piercing Robot,0.06,Hoisting,8,3 
228,NJ_500-2.7,COMAU,NULL,NULL,1402,6,144,200~600,Piercing Robot,0.05,Hoisting,7,1 
229,NJ4_110-2.2,COMAU,NULL,NULL,2006,6,273,200~600,Piercing Robot,0.05,"Floor, wall, bracket, inclined, hoisting",10,3 
230,NJ4_170-2.9,COMAU,NULL,NULL,2000,10,520,200~600,Piercing Robot,0.02,"Floor, wall, bracket, inclined, hoisting",10,5 
231,ADT-300X4G150-021,ADTECHEN,NULL,NULL,175,2,15,200~600,handling robot,0.02,"Floor, wall, bracket, inclined, hoisting",1,1 
232,ADT-400X4G150-051,ADTECHEN,NULL,NULL,200,5,30,200~600,handling robot,0.02,"Floor, wall, bracket, inclined, hoisting",1,1 
233,ADT-473X6G-2,ADTECHEN,NULL,NULL,588,2,20,200~600,handling robot,0.1,"Floor, wall, bracket, inclined, hoisting",3,1 
234,ADT-600X4G300-5,ADTECHEN,NULL,NULL,350,5,26,200~600,handling robot,0.1,"Floor, wall, bracket, inclined, hoisting",2,1 
235,ADT-HA006,ADTECHEN,NULL,NULL,1394,6,155,200~600,handling robot,0.05,fall to the ground,7,2 
236,AR-F500L,Hirata Machine Works,NULL,NULL,650,5,28,200~600,handling robot,0.02,fall to the ground,3,1 
237,HH130L,HYUNDAI,8,NULL,3082,130,1400,200~600,handling robot,0.25,fall to the ground,15,14 
238,HH300,HYUNDAI,10.5,NULL,2666,300,1250,200~600,handling robot,0.05,fall to the ground,13,13 
239,HM-4060,DENSO,NULL,NULL,600,10,55,200~600,handling robot,0.02,fall to the ground,3,2 
240,HM-4070,DENSO,NULL,NULL,700,10,55,200~600,handling robot,0.02,"floor, hoisting",4,2 
241,HM-4085,DENSO,NULL,NULL,850,10,55,200~600,handling robot,0.025,"floor, hoisting",4,2 
242,HM-40A0,DENSO,NULL,NULL,1000,10,55,200~600,handling robot,0.025,fall to the ground,5,2 
243,HM-4A60,DENSO,NULL,NULL,600,20,55,200~600,handling robot,0.02,fall to the ground,3,2 
244,HX300L,HYUNDAI,10.5,NULL,3056,300,2685,200~600,handling robot,0.3,fall to the ground,15,27 
245,HX400,HYUNDAI,10.5,NULL,2573,400,2620,200~600,handling robot,0.08,fall to the ground,13,26 
246,HX500,HYUNDAI,10.5,NULL,2703,500,3130,200~600,handling robot,0.08,fall to the ground,14,31 
247,HX600,HYUNDAI,10.5,NULL,2704,600,3200,200~600,handling robot,0.12,fall to the ground,14,32 
248,IRB 2600-12/1.65,ABB,3.4,NULL,1650,12,272,200~600,handling robot,0.04,"Floor, wall, bracket, inclined, hoisting",8,3 
249,IRB_1600-10/1.2,ABB,NULL,NULL,1200,10,250,200~600,handling robot,0.02,"Floor, wall, bracket, inclined, hoisting",6,3 
250,IRB_1600-10/1.45,ABB,NULL,NULL,1450,10,250,200~600,handling robot,0.05,"Floor, wall, bracket, inclined, hoisting",7,3 
251,IRB_1600-6/1.2,ABB,0.58,484*648,1200,6,250,200~600,handling robot,0.02,"Floor, wall, bracket, inclined, hoisting",6,3 
252,IRB_1600-6/1.45,ABB,0.58,484*648,1450,6,250,200~600,handling robot,0.02,"Floor, wall, bracket, inclined, hoisting",7,3 
253,IRB_2600-12/1.85,ABB,3.4,NULL,1850,12,284,200~600,handling robot,0.04,"Floor, wall, bracket, inclined, hoisting",9,3 
254,IRB_4400-45,ABB,1.33,NULL,1960,45,1040,200~600,handling robot,0.3,fall to the ground,10,11 
255,IRB_4400-60,ABB,1.33,NULL,1960,60,1040,200~600,handling robot,0.3,fall to the ground,10,11 
256,IRB_4400L-10,ABB,1.28,NULL,2550,10,1040,200~600,handling robot,0.3,fall to the ground,13,11 
257,IRB_4400L-30,ABB,1.28,NULL,2550,30,1040,200~600,handling robot,0.3,fall to the ground,13,11 
258,IRB_6640-180/2.55,ABB,2.7,NULL,2550,180,1405,200~600,handling robot,0.05,fall to the ground,13,14 
259,IRB_6640-205/2.75,ABB,0.58,NULL,2750,205,1320,200~600,handling robot,0.04,fall to the ground,14,13 
260,KF121,KAWASAKI,NULL,NULL,1240,5,140,200~600,handling robot,0.2,"Floor, wall, bracket, inclined, hoisting",6,1 
261,KR_16-2_CR,KUKA,NULL,NULL,1610,16,235,200~600,handling robot,0.05,fall to the ground,8,2 
262,KR_30_HA,KUKA,7.3,850*950,2033,30,665,200~600,handling robot,0.05,"floor, hoisting",10,7 
263,KR_500-3_MT,KUKA,NULL,NULL,3326,480,2463,200~600,handling robot,0.08,fall to the ground,17,25 
264,KR_60_HA,KUKA,7.3,850*950,2033,60,685,200~600,handling robot,0.05,"floor, hoisting",10,7 
265,KR_60_L16-2_KS,KUKA,NULL,NULL,2952,16,650,200~600,handling robot,0.06,fall to the ground,15,7 
266,KR_60_L45-2_JET,KUKA,NULL,NULL,1682,60,435,200~600,handling robot,0.07,bracket,8,4 
267,KR_60-3,KUKA,7.3,NULL,2033,60,665,200~600,handling robot,0.2,fall to the ground,10,7 
268,KR_60-3_F,KUKA,7.3,NULL,2033,60,665,200~600,handling robot,0.06,"floor, hoisting",10,7 
269,KR_60-4_KS,KUKA,NULL,NULL,2430,60,610,200~600,handling robot,0.06,fall to the ground,12,6 
270,KR_60-4_KS-F,KUKA,NULL,NULL,2233,60,600,200~600,handling robot,0.06,fall to the ground,11,6 
271,LP130-01,NACHI,NULL,NULL,3210,130,1150,200~600,handling robot,0.3,fall to the ground,16,12 
272,LP180-01,NACHI,NULL,NULL,3210,180,1150,200~600,handling robot,0.4,fall to the ground,16,12 
273,LR Mate 200iC,FANUC,NULL,NULL,703,5,27,200~600,handling robot,0.02,"Floor-standing, wall-mounted, hoisting, inclined",4,1 
274,M-3iA/12H,FANUC,NULL,NULL,1350,12,155,200~600,handling robot,0.03,Hoisting,7,2 
275,M-3iA/6A,FANUC,NULL,NULL,1350,6,175,200~600,handling robot,0.03,Hoisting,7,2 
276,M-3iA/6S,FANUC,NULL,NULL,1350,6,160,200~600,handling robot,0.03,Hoisting,7,2 
277,M-420iA,FANUC,NULL,NULL,1855,40,630,200~600,handling robot,0.5,fall to the ground,9,6 
278,M-421iA,FANUC,NULL,NULL,1855,50,520,200~600,handling robot,0.5,fall to the ground,9,5 
279,M-430iA/2F,FANUC,NULL,NULL,900,2,24,200~600,handling robot,0.5,"Floor, wall, ceiling",5,1 
280,M-900iA/260L,FANUC,NULL,NULL,3100,260,1800,200~600,handling robot,0.3,fall to the ground,16,18 
281,M-900iA/350,FANUC,NULL,NULL,2650,350,1720,200~600,handling robot,0.3,"floor, hoisting",13,17 
282,M-900iA/400L,FANUC,NULL,NULL,3704,400,3150,200~600,handling robot,0.3,fall to the ground,19,32 
283,M-900iA/600,FANUC,NULL,NULL,2832,600,2800,200~600,handling robot,0.4,fall to the ground,14,28 
284,MC10L,NACHI,NULL,NULL,1575,10,225,200~600,handling robot,0.06,"floor, hoisting",8,2 
285,MC20,NACHI,NULL,NULL,1575,20,220,200~600,handling robot,0.06,"floor, hoisting",8,2 
286,MC35,NACHI,NULL,NULL,2050,35,640,200~600,handling robot,0.07,fall to the ground,10,6 
287,MC50,NACHI,NULL,NULL,2050,50,640,200~600,handling robot,0.07,fall to the ground,10,6 
288,MC70,NACHI,NULL,NULL,2050,70,640,200~600,handling robot,0.07,fall to the ground,10,6 
289,MT400N,KAWASAKI,NULL,NULL,3503,400,2600,200~600,handling robot,0.5,fall to the ground,18,26 
290,MX350L,KAWASAKI,NULL,NULL,3018,350,2800,200~600,handling robot,0.5,"Floor, wall, bracket, inclined, hoisting",15,28 
291,MX420L,KAWASAKI,NULL,NULL,2778,420,2800,200~600,handling robot,0.5,"Floor, wall, bracket, inclined, hoisting",14,28 
292,MX500N,KAWASAKI,NULL,NULL,2540,500,2750,200~600,handling robot,0.5,"Floor, wall, bracket, inclined, hoisting",13,28 
293,MX700N,KAWASAKI,NULL,NULL,2540,500,2860,200~600,handling robot,0.5,"Floor, wall, bracket, inclined, hoisting",13,29 
294,NJ_165-3.0,COMAU,NULL,NULL,3000,165,1240,200~600,handling robot,0.09,"floor, hoisting",15,12 
295,NJ_220-2.7,COMAU,NULL,NULL,2701,220,1220,200~600,handling robot,0.08,"floor, hoisting",14,12 
296,NJ_290-3.0,COMAU,NULL,NULL,2997,290,2150,200~600,handling robot,0.15,fall to the ground,15,22 
297,NJ_370-2.7,COMAU,NULL,NULL,2703,370,2100,200~600,handling robot,0.15,fall to the ground,14,21 
298,NJ_370-3.0,COMAU,NULL,NULL,2997,370,2450,200~600,handling robot,0.15,fall to the ground,15,25 
299,NJ_450-2.7,COMAU,NULL,NULL,2703,450,2400,200~600,handling robot,0.15,fall to the ground,14,24 
300,NJ_500-2.7,COMAU,NULL,NULL,2703,500,2400,200~600,handling robot,0.15,fall to the ground,14,24 
301,R-1000iA/80F,FANUC,NULL,NULL,2230,80,620,200~600,handling robot,0.2,Hoisting,11,6 
302,R-2000iB/125L,FANUC,NULL,NULL,3005,125,1190,200~600,handling robot,0.2,fall to the ground,15,12 
303,RH-12FRH55,mitsubishi,NULL,NULL,550,12,65,200~600,handling robot,0.01,fall to the ground,3,2 
304,RH-12FRH70,mitsubishi,NULL,NULL,700,12,67,200~600,handling robot,0.01,fall to the ground,4,2 
305,RH-12FRH85,mitsubishi,NULL,NULL,850,12,69,200~600,handling robot,0.01,fall to the ground,4,2 
306,RH-20FRH100,mitsubishi,NULL,NULL,1000,20,77,200~600,handling robot,0.01,fall to the ground,5,2 
307,RH-20FRH85,mitsubishi,NULL,NULL,850,20,75,200~600,handling robot,0.01,fall to the ground,4,2 
308,RH-3FRH35 ,mitsubishi,NULL,NULL,350,3,29,200~600,handling robot,0.01,fall to the ground,2,1 
309,RH-3FRH45,mitsubishi,NULL,NULL,450,3,29,200~600,handling robot,0.01,fall to the ground,2,1 
310,RH-3FRH55,mitsubishi,NULL,NULL,550,3,32,200~600,handling robot,0.01,fall to the ground,3,1 
311,RH-3FRHR,mitsubishi,NULL,NULL,350,3,24,200~600,handling robot,0.01,Hoisting,2,1 
312,RH-6FRH35,mitsubishi,NULL,NULL,350,6,36,200~600,handling robot,0.01,fall to the ground,2,1 
313,RH-6FRH45,mitsubishi,NULL,NULL,450,6,36,200~600,handling robot,0.01,fall to the ground,2,1 
314,RH-6FRH55,mitsubishi,NULL,NULL,550,6,37,200~600,handling robot,0.01,fall to the ground,3,1 
315,RS020N,KAWASAKI,3,NULL,1725,20,230,200~600,handling robot,0.05,"Floor, hanging, wall hanging",9,2 
316,RS080N,KAWASAKI,NULL,NULL,2100,80,555,200~600,handling robot,0.06,"floor, hoisting",11,6 
317,RV-13FR,mitsubishi,NULL,NULL,1094,13,120,200~600,handling robot,0.05,"Floor, hanging, wall hanging",5,1 
318,RV-13FRL,mitsubishi,NULL,NULL,1388,13,130,200~600,handling robot,0.05,"Floor, hanging, wall hanging",7,1 
319,RV-20FR,mitsubishi,NULL,NULL,1094,20,120,200~600,handling robot,0.02,"Floor, hanging, wall hanging",5,1 
320,RV-2FR,mitsubishi,NULL,NULL,504,2,19,200~600,handling robot,0.02,"Floor, hanging, wall hanging",3,1 
321,RV-2FRL,mitsubishi,NULL,NULL,649,2,21,200~600,handling robot,0.02,"Floor, hanging, wall hanging",3,1 
322,RV-4FR,mitsubishi,NULL,NULL,515,4,39,200~600,handling robot,0.02,"Floor, hanging, wall hanging",3,1 
323,RV-4FRL,mitsubishi,NULL,NULL,649,4,41,200~600,handling robot,0.02,"Floor, hanging, wall hanging",3,1 
324,RV-7FR,mitsubishi,NULL,NULL,713,7,65,200~600,handling robot,0.02,"Floor, hanging, wall hanging",4,2 
325,RV-7FRL,mitsubishi,NULL,NULL,908,7,67,200~600,handling robot,0.02,"Floor, hanging, wall hanging",5,2 
326,RV-8CRL,mitsubishi,NULL,NULL,931,8,41,200~600,handling robot,0.1,"Floor, hanging, wall hanging",5,1 
327,SRA166,NACHI,NULL,NULL,2654,166,960,200~600,handling robot,0.1,fall to the ground,13,10 
328,SRA210,NACHI,NULL,NULL,2674,210,990,200~600,handling robot,0.15,fall to the ground,13,10 
329,VM-6083,DENSO,NULL,NULL,1021,13,82,200~600,handling robot,0.05,"floor-standing, wall-mounted",5,2 
330,VM-60B1,DENSO,NULL,NULL,1298,13,82,200~600,handling robot,0.07,"floor-standing, wall-mounted",6,2 
331,VP-5243,DENSO,NULL,NULL,430,3,13,200~600,handling robot,0.02,"floor, hoisting",2,1 
332,VP-6242,DENSO,NULL,NULL,432,2.5,15,200~600,handling robot,0.02,"floor, hoisting",2,1 
333,VS-087,DENSO,NULL,NULL,905,7,51,200~600,handling robot,0.03,"floor-standing, wall-mounted",5,2 
334,VS-6556,DENSO,NULL,NULL,653,7,35,200~600,handling robot,0.02,"floor-standing, wall-mounted",3,1 
335,VS-6577,DENSO,NULL,NULL,854,7,36,200~600,handling robot,0.03,"floor-standing, wall-mounted",4,1 
336,XR-4341,DENSO,NULL,NULL,450,5,33,200~600,handling robot,0.015,Hoisting,2,1 
337,ZH100U,KAWASAKI,NULL,NULL,1634,100,750,200~600,handling robot,0.3,fall to the ground,8,8 
338,ZT130S,KAWASAKI,NULL,NULL,3230,130,1550,200~600,handling robot,0.3,fall to the ground,16,16 
339,ZT165U,KAWASAKI,NULL,NULL,3230,165,1550,200~600,handling robot,0.3,fall to the ground,16,16 
340,ZT200S,KAWASAKI,NULL,NULL,3230,200,1600,200~600,handling robot,0.3,fall to the ground,16,16 
341,ZX130L,KAWASAKI,NULL,NULL,2951,130,1400,200~600,handling robot,0.3,"Floor, wall, bracket, inclined, hoisting",15,14 
342,ZX130S,KAWASAKI,NULL,NULL,2651,130,1350,200~600,handling robot,0.3,"Floor, wall, bracket, inclined, hoisting",13,14 
343,ZX165U,KAWASAKI,NULL,NULL,2651,165,1350,200~600,handling robot,0.3,"Floor, wall, bracket, inclined, hoisting",13,14 
344,ZX200S,KAWASAKI,NULL,NULL,2651,200,1400,200~600,handling robot,0.3,"Floor, wall, bracket, inclined, hoisting",13,14 
345,ZX300S,KAWASAKI,NULL,NULL,2501,300,1400,200~600,handling robot,0.3,"Floor, wall, bracket, inclined, hoisting",13,14 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
